article_title,revision_Id,article_quality,country,region,population
Samson L. Kwaje,1055834802,Start,South Sudan,EAST AFRICA,10.9
Felix Ladu,1091814441,Stub,South Sudan,EAST AFRICA,10.9
Paterno Legge,1075466143,Stub,South Sudan,EAST AFRICA,10.9
Stephen Lemi Lokuron,1075465380,Stub,South Sudan,EAST AFRICA,10.9
Natisio Loluke,919628419,Stub,South Sudan,EAST AFRICA,10.9
Joseph Lual Acuil,1063289231,Start,South Sudan,EAST AFRICA,10.9
Vincent Kujo Lubong,1069101167,Stub,South Sudan,EAST AFRICA,10.9
Mabior Garang De-Mabior,1113657913,Start,South Sudan,EAST AFRICA,10.9
Mary Karlino Madut,1094131882,Stub,South Sudan,EAST AFRICA,10.9
Simon Mijok Majak,1100729735,Stub,South Sudan,EAST AFRICA,10.9
Madang Majok,930031820,Stub,South Sudan,EAST AFRICA,10.9
Abraham Gum Makuach,1112713366,Stub,South Sudan,EAST AFRICA,10.9
Juma Ali Malou,919560655,Stub,South Sudan,EAST AFRICA,10.9
Mary Mawai,1105243093,Stub,South Sudan,EAST AFRICA,10.9
James Ajongo Mawut,1093453653,Stub,South Sudan,EAST AFRICA,10.9
Peter Mayen,1109187939,Stub,South Sudan,EAST AFRICA,10.9
Juliet Raphael Michael,1094131128,Stub,South Sudan,EAST AFRICA,10.9
John Peter Miskin,1091499255,Stub,South Sudan,EAST AFRICA,10.9
Afikaano Monday,919576350,Stub,South Sudan,EAST AFRICA,10.9
Joseph Monytuil,1103909978,Stub,South Sudan,EAST AFRICA,10.9
Hellen Murshali,1103920974,Stub,South Sudan,EAST AFRICA,10.9
Paulino Matip Nhial,1109450057,GA,South Sudan,EAST AFRICA,10.9
Elias Waya Nyipuoc,960248404,Start,South Sudan,EAST AFRICA,10.9
Rebecca Joshua Okwaci,1078883066,Start,South Sudan,EAST AFRICA,10.9
Nathaniel Oyet,1113434840,Stub,South Sudan,EAST AFRICA,10.9
Joseph Nyiegele Pacifo,929980362,Stub,South Sudan,EAST AFRICA,10.9
Bona Panek,919581650,Stub,South Sudan,EAST AFRICA,10.9
Ajonye Paperture,1024512303,Stub,South Sudan,EAST AFRICA,10.9
Paulino Lukudu Obede,1105374820,Stub,South Sudan,EAST AFRICA,10.9
Simon Kun Puoch,1032614087,Stub,South Sudan,EAST AFRICA,10.9
Patrick Raphael,918739405,Stub,South Sudan,EAST AFRICA,10.9
Richard Remo,1068134189,Stub,South Sudan,EAST AFRICA,10.9
Ruben Madol Arol Kachuol,1096745777,Start,South Sudan,EAST AFRICA,10.9
Adil Athanasio Surrur,1106626605,Stub,South Sudan,EAST AFRICA,10.9
John Lodu Tombe,1075472084,Stub,South Sudan,EAST AFRICA,10.9
Tong Akeen Ngor,1049724514,Stub,South Sudan,EAST AFRICA,10.9
Dier Tong Ngor,1110997068,Stub,South Sudan,EAST AFRICA,10.9
Michael Tongun,1080331759,Stub,South Sudan,EAST AFRICA,10.9
James Tor Monybuny,1005891533,Start,South Sudan,EAST AFRICA,10.9
Rin Tuec,919609346,Stub,South Sudan,EAST AFRICA,10.9
Efisio Kon Uguak,1075404348,Stub,South Sudan,EAST AFRICA,10.9
Augustino Jadalla Wani,1094862433,Stub,South Sudan,EAST AFRICA,10.9
Manasseh Lomole Waya,1096606367,Stub,South Sudan,EAST AFRICA,10.9
Juma Saeed Worju,967664366,Stub,South Sudan,EAST AFRICA,10.9
Justin Yak,1110072478,Stub,South Sudan,EAST AFRICA,10.9
Claro Abánades López,1113779647,FA,Spain,SOUTHERN EUROPE,47.4
Joaquín Abarca,1033407869,Stub,Spain,SOUTHERN EUROPE,47.4
Domingo de Acassuso,1093900852,Start,Spain,SOUTHERN EUROPE,47.4
Pedro Acedo Penco,1084146623,Stub,Spain,SOUTHERN EUROPE,47.4
Sofía Acedo Reyes,1082213275,Start,Spain,SOUTHERN EUROPE,47.4
Rodolfo Aínsa,1101221364,Stub,Spain,SOUTHERN EUROPE,47.4
Luis Alarcón de la Lastra,1104137934,C,Spain,SOUTHERN EUROPE,47.4
Gil Álvarez Carrillo de Albornoz,1097643747,C,Spain,SOUTHERN EUROPE,47.4
Luis Almarcha Hernández,1068994303,Start,Spain,SOUTHERN EUROPE,47.4
Alonso III Fonseca,1095942154,Start,Spain,SOUTHERN EUROPE,47.4
Ana Alós,1101011811,Start,Spain,SOUTHERN EUROPE,47.4
"Fadrique de Toledo, 1st Marquess of Valdueza",1068945024,Start,Spain,SOUTHERN EUROPE,47.4
"Fernando Álvarez de Toledo, 3rd Duke of Alba",1110129320,C,Spain,SOUTHERN EUROPE,47.4
García Álvarez de Toledo y Osorio,1095787511,Start,Spain,SOUTHERN EUROPE,47.4
"García de Toledo Osorio, 6th Marquess of Villafranca",1045635951,Start,Spain,SOUTHERN EUROPE,47.4
"Pedro de Toledo Osorio, 5th Marquess of Villafranca",1104843127,Start,Spain,SOUTHERN EUROPE,47.4
Diego de Alvear y Ponce de León,1109548816,C,Spain,SOUTHERN EUROPE,47.4
Martín de Álzaga,1114852877,C,Spain,SOUTHERN EUROPE,47.4
Antonio Gutiérrez y Ulloa,1105274896,C,El Salvador,CENTRAL AMERICA,6.3
Antonio Gutiérrez y Ulloa,1105274896,C,Spain,SOUTHERN EUROPE,47.4
Buenaventura Carlos Aribau,988474574,Stub,Spain,SOUTHERN EUROPE,47.4
Manuel de Aróstegui Sáenz de Olamendi,1096423662,Stub,Spain,SOUTHERN EUROPE,47.4
Antonio Arrúe Zarauz,1113779972,FA,Spain,SOUTHERN EUROPE,47.4
Eduardo Asquerino,1059034676,Stub,Spain,SOUTHERN EUROPE,47.4
Lourdes Auzmendi,1029806372,Start,Spain,SOUTHERN EUROPE,47.4
Vicente Bacallar,1083620426,C,Spain,SOUTHERN EUROPE,47.4
Ignacio Baleztena Ascárate,1114317297,FA,Spain,SOUTHERN EUROPE,47.4
Atanasio Ballesteros,1108477980,Stub,Spain,SOUTHERN EUROPE,47.4
"José Baquíjano y Carrillo, Count of Vistaflorida",1093246879,Start,Spain,SOUTHERN EUROPE,47.4
Juan Palarea y Blanes,1110529907,Start,Spain,SOUTHERN EUROPE,47.4
Joseph Blás de Gainza,993600864,Stub,Spain,SOUTHERN EUROPE,47.4
Juan Antonio Bolea,1100828029,Stub,Spain,SOUTHERN EUROPE,47.4
Gaspar de Borja y Velasco,1104699341,C,Spain,SOUTHERN EUROPE,47.4
"Francisco Tadeo Calomarde, 1st Duke of Santa Isabel",1070343072,Start,Spain,SOUTHERN EUROPE,47.4
Blas Camacho,1101437075,Stub,Spain,SOUTHERN EUROPE,47.4
José Manuel Campa,1074156210,Start,Spain,SOUTHERN EUROPE,47.4
Mateu Cañellas,1099176383,Start,Spain,SOUTHERN EUROPE,47.4
Antonio Carro Martínez,1104381249,Stub,Spain,SOUTHERN EUROPE,47.4
"Nicolás de Carvajal, Marquis of Sarria",1098105485,Start,Spain,SOUTHERN EUROPE,47.4
Francesc de Castellví i de Vic,1066124922,Stub,Spain,SOUTHERN EUROPE,47.4
Yaiza Castilla Herrera,1114401468,Stub,Spain,SOUTHERN EUROPE,47.4
"Juan Francisco de la Cerda, 8th Duke of Medinaceli",1105892119,Start,Spain,SOUTHERN EUROPE,47.4
"Luis Francisco de la Cerda, 9th Duke of Medinaceli",1101260163,Start,Spain,SOUTHERN EUROPE,47.4
Ramón Chíes,1093542725,Start,Spain,SOUTHERN EUROPE,47.4
Diego Clemencín,1081213360,Start,Spain,SOUTHERN EUROPE,47.4
Octavio Cuartero Cifuentes,1096425264,Stub,Spain,SOUTHERN EUROPE,47.4
"Diego Dávila Mesía y Guzmán, 3rd Marquess of Leganés",1084945739,Start,Spain,SOUTHERN EUROPE,47.4
Fernando de Parias Merry,1102909033,Stub,Spain,SOUTHERN EUROPE,47.4
Rafael Díez de la Cortina y Olaeta,1112390753,FA,Spain,SOUTHERN EUROPE,47.4
Teresa Domingo Segarra,1091720186,Stub,Spain,SOUTHERN EUROPE,47.4
Juan Donoso Cortés,1106894631,C,Spain,SOUTHERN EUROPE,47.4
Horacio Echevarrieta,1046893081,C,Spain,SOUTHERN EUROPE,47.4
Julián Elorza Aizpuru,1111274553,FA,Spain,SOUTHERN EUROPE,47.4
Juan de Escobedo,1043838278,Start,Spain,SOUTHERN EUROPE,47.4
Juan Escoiquiz,1032123165,Start,Spain,SOUTHERN EUROPE,47.4
Gaspar de Espinosa,1068983396,Start,Spain,SOUTHERN EUROPE,47.4
Víctor Eusa Razquin,1113527776,FA,Spain,SOUTHERN EUROPE,47.4
Carlos Fabra Carreras,1088684877,C,Spain,SOUTHERN EUROPE,47.4
"Diego Felipez de Guzmán, 1st Marquess of Leganés",1096106290,C,Spain,SOUTHERN EUROPE,47.4
